trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-61.43649469230027,"{0: 16, 1: 5, 2: 2, 3: 2, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-75.88215671367118,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",30,19,-2.27810795281344,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-108.54004853667695,"{0: 15, 1: 1, 2: 8, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-7.069722999912634,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-151.333140498058,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-142.72101476607628,"{0: 10, 1: 1, 2: 7, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-71.96464900177048,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-90.89970799467234,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-173.65307016596523,"{0: 15, 1: 1, 2: 5, 3: 1, 4: 3}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-103.22447942858429,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-85.1660898052426,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",30,0,-146.66639958827693,"{0: 21, 1: 1, 2: 5, 3: 0, 4: 3}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,12,-55.24208483711016,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 1}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,2,-51.23304407407999,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 1}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-11.633845521212436,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",30,14,-43.29380986866962,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 1}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,24.01837738047852,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,7,-42.27591687571422,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 1}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,16,6.96839326319186,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",25,6,-75.19044949148949,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 2}",1
2,True,"{'a': 0.0, 'e': 0.0}",20,0,21.86790490476281,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
3,True,"{'a': 0.0, 'e': 0.0}",30,16,23.566837601134853,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.0, 'e': 0.0}",20,8,-29.321853173516093,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
5,True,"{'a': 0.0, 'e': 0.0}",30,9,22.729727361375744,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",25,14,-13.609357780837438,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 0}",1
7,True,"{'a': 0.0, 'e': 0.0}",20,0,9.284745683335265,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
8,True,"{'a': 0.0, 'e': 0.0}",20,6,-9.237900626821592,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 0}",1
9,True,"{'a': 0.0, 'e': 0.0}",20,0,-109.81139709970424,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 3}",0
10,True,"{'a': 0.0, 'e': 0.0}",20,0,4.4765761425099555,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
