trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.99}",25,0,-77.26388932210388,"{0: 14, 1: 3, 2: 8, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.98}",30,0,-138.6359231123938,"{0: 23, 1: 2, 2: 1, 3: 1, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.97}",25,0,-83.5364433698972,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.96}",30,2,-96.70762853758542,"{0: 17, 1: 2, 2: 7, 3: 2, 4: 0}",1
5,False,"{'a': 0.5, 'e': 0.95}",20,0,-131.00131425356702,"{0: 9, 1: 4, 2: 4, 3: 2, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.94}",25,0,-196.07661781526704,"{0: 13, 1: 1, 2: 8, 3: 0, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.9299999999999999}",20,0,-105.23233453383035,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.9199999999999999}",35,0,-149.3122134049478,"{0: 22, 1: 5, 2: 5, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.9099999999999999}",20,0,-124.99038314026159,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-113.1662550753043,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.09090909090909091}",25,11,13.640319656414679,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.08333333333333333}",30,22,13.948660260216855,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.07692307692307693}",20,12,15.288013485700464,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.07142857142857142}",20,12,4.683147161469962,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.06666666666666667}",25,14,21.114777330812615,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.0625}",25,8,30.54875009458572,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.058823529411764705}",20,9,22.783118263487037,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.05555555555555555}",20,10,20.07555424120204,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.05263157894736842}",20,3,10.812470011126104,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.05}",25,11,27.49121771118545,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
21,False,"{'a': 0.5, 'e': 0.047619047619047616}",20,6,23.113907173835162,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
22,False,"{'a': 0.5, 'e': 0.045454545454545456}",30,14,26.322640647861498,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
23,False,"{'a': 0.5, 'e': 0.043478260869565216}",30,13,32.091077444717186,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
24,False,"{'a': 0.5, 'e': 0.041666666666666664}",30,10,27.5368177128812,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
25,False,"{'a': 0.5, 'e': 0.04}",20,14,13.658934522769991,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
26,False,"{'a': 0.5, 'e': 0.038461538461538464}",30,10,33.698060816796115,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
27,False,"{'a': 0.5, 'e': 0.037037037037037035}",25,7,36.348573294794164,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
28,False,"{'a': 0.5, 'e': 0.03571428571428571}",25,11,22.400579141490486,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
29,False,"{'a': 0.5, 'e': 0.034482758620689655}",20,13,14.609491933040095,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
30,False,"{'a': 0.5, 'e': 0.03333333333333333}",20,12,15.628627138802749,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
31,False,"{'a': 0.5, 'e': 0.03225806451612903}",20,14,11.861724361741071,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
32,False,"{'a': 0.5, 'e': 0.03125}",30,19,23.777136939807335,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
33,False,"{'a': 0.5, 'e': 0.030303030303030304}",30,14,29.02972289589685,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
34,False,"{'a': 0.5, 'e': 0.029411764705882353}",25,17,17.038594021266206,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",25,19,13.35384697258166,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.0, 'e': 0.0}",20,15,10.26660225062061,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",35,15,41.3531483812126,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
