trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-111.4494492317263,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-62.29970829881222,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,10,-6.969801717628393,"{0: 7, 1: 2, 2: 1, 3: 0, 4: 0}",1
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-36.087862852827655,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-98.02613781587644,"{0: 12, 1: 3, 2: 10, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-204.07288778431928,"{0: 11, 1: 3, 2: 6, 3: 3, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",30,0,-146.25054345318895,"{0: 21, 1: 2, 2: 4, 3: 0, 4: 3}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-89.26973624562164,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-109.77124807477338,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",30,0,-136.56480876160558,"{0: 19, 1: 2, 2: 7, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,9,-66.33684703323993,"{0: 6, 1: 0, 2: 4, 3: 0, 4: 1}",1
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-42.78107749103342,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",30,0,-214.99728770455312,"{0: 18, 1: 1, 2: 5, 3: 3, 4: 3}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-98.22404841266143,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-76.12200877475945,"{0: 16, 1: 1, 2: 7, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-119.4896775523059,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-168.73260196670057,"{0: 14, 1: 2, 2: 6, 3: 0, 4: 3}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-71.08987522267562,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-191.5937956959069,"{0: 14, 1: 1, 2: 6, 3: 1, 4: 3}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-152.85609283579134,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 3}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-194.90422772868345,"{0: 13, 1: 1, 2: 5, 3: 4, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-105.85041046424253,"{0: 9, 1: 4, 2: 6, 3: 0, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",35,0,-189.4017763879743,"{0: 22, 1: 3, 2: 5, 3: 2, 4: 3}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-87.24487624994126,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-119.58258199271513,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-109.86025369100142,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-147.27252217859373,"{0: 14, 1: 2, 2: 7, 3: 0, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-231.07446963309053,"{0: 9, 1: 1, 2: 10, 3: 3, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-35.44590069518579,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-55.0641308752847,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
